id,bucket,stack_bb,position,vs_position,facing_bet,hero_cards,action_taken,best_action,label,miss_reason

26509,10bb,4.1,BB,CO,3.0,8hKd,fold,fold,standard,low_stack

26819,10bb,5.4,CO,UTG+2,1.1,8c5c,fold,fold,standard,low_stack

26817,10bb,6.1,SB,CO,1.1,4h9s,fold,fold,standard,low_stack

26970,10bb,6.4,BB,SB,21.0,2s5s,fold,fold,standard,low_stack

26968,10bb,7.1,SB,BTN,49.9,7dAd,fold,fold,standard,low_stack

26478,10bb,7.2,UTG+2,UTG+1,2.0,2s8h,fold,fold,standard,low_stack

26926,10bb,7.4,BTN,CO,10.0,KdJs,call,fold,marginal,low_stack

26770,10bb,7.8,BB,SB,7.0,Ad2c,fold,fold,standard,low_stack

26114,10bb,8.0,BB,SB,7.0,Td4s,fold,fold,standard,low_stack

26483,10bb,8.2,BTN,UTG+1,1.2,Ad9c,fold,fold,standard,low_stack

26967,10bb,8.3,BB,SB,31.0,9sJc,fold,fold,standard,low_stack

26824,10bb,8.5,BB,UTG+1,1.1,7s2d,fold,fold,standard,low_stack

26482,10bb,8.8,SB,HJ,9.8,QcJh,fold,fold,standard,low_stack

26788,10bb,8.8,BB,SB,55.7,TdKc,fold,fold,standard,low_stack

26550,10bb,9.6,UTG,BB,12.9,Th9h,fold,raise,standard,low_stack

26545,10bb,9.6,CO,UTG+2,12.8,QsJh,fold,fold,standard,low_stack

26920,10bb,10.0,SB,BTN,14.2,6s2s,fold,fold,standard,no_json_data

26748,10bb,10.0,SB,UTG+1,8.8,9sTs,fold,fold,standard,no_json_data

26832,10bb,10.1,BB,SB,25.0,AhJd,call,jam,standard,no_json_data

26474,10bb,10.2,SB,BTN,2.0,6c5c,fold,fold,standard,no_json_data

26758,10bb,10.4,SB,UTG+1,9.0,7dKs,fold,fold,standard,no_json_data

26572,10bb,10.7,CO,UTG+2,1.2,9c6d,fold,fold,standard,no_json_data

26468,10bb,10.8,BTN,CO,2.0,7d9s,fold,fold,standard,no_json_data

26777,10bb,11.0,BB,CO,3.2,6h7s,fold,fold,standard,no_json_data

26747,10bb,11.2,BB,HJ,4.9,Kd2s,fold,fold,standard,no_json_data

26757,10bb,11.5,BB,UTG+1,19.4,4hTs,fold,fold,standard,no_json_data

26570,10bb,11.7,SB,BTN,1.1,5sQc,fold,fold,standard,no_json_data

26795,10bb,11.9,BTN,SB,34.0,JhKd,fold,fold,standard,no_json_data

26644,10bb,11.9,UTG+2,UTG+1,1.1,2sQc,fold,fold,standard,no_json_data

26117,14bb,13.0,CO,BB,12.5,6c7c,fold,fold,standard,no_json_data

26913,14bb,13.4,BTN,BB,64.5,7dKd,fold,raise,standard,no_json_data

26119,14bb,15.0,BTN,BB,27.0,8s5s,fold,fold,standard,no_json_data

26928,20bb,17.9,BB,CO,3.5,4s7c,fold,fold,standard,no_json_data

26345,20bb,21.2,BB,CO,3.0,8c2h,fold,fold,standard,no_json_data

26452,30bb,27.0,BTN,SB,2.7,4h4c,call,raise,marginal,no_json_data

26292,40bb,45.4,BB,UTG+1,1.2,ThJd,call,raise,standard,no_json_data

26268,75bb,67.7,BB,UTG+1,8.3,2h8d,fold,fold,standard,no_json_data

26374,75bb,75.0,BB,UTG+1,5.5,4s5h,fold,fold,standard,no_json_data

26259,75bb,85.8,BB,UTG+1,1.2,Jh4s,fold,fold,standard,no_json_data

26228,100bb,118.7,SB,BB,2.5,Qc3s,call,fold,marginal,no_json_data

26225,100bb,121.9,UTG,UTG+2,3.0,Ac7c,fold,raise,standard,no_json_data

26216,100bb,161.5,BB,UTG+1,1.2,4d3c,fold,fold,standard,no_json_data

